ID	Subcategory	Question	Answer	Comment	Source
Social_1	Education	Higher education should be tuition free (publically funded)	5	Give every American the opportunity to attend a two-year or four-year public college without paying a dime in tuition or fees	https://medium.com/@teamwarren/im-calling-for-something-truly-transformational-universal-free-public-college-and-cancellation-of-a246cd0f910f
Social_2	Education	The government should forgive outstanding student debt	5	I’m calling for something truly transformational — the cancellation of up to $50,000 in student loan debt for 42 million Americans.	https://medium.com/@teamwarren/im-calling-for-something-truly-transformational-universal-free-public-college-and-cancellation-of-a246cd0f910f
Social_3	Gun Control	The government should ban all assault style weapons and high capacity magazines from public purchase	5	Sen. Elizabeth Warren is a co-sponsor of a Senate bill to ban assault weapons, and also co-sponsored the proposed Assault Weapons Ban of 2013.	https://www.feinstein.senate.gov/public/index.cfm/press-releases?id=EFC76859-879D-4038-97DD-C577212ED17B
Social_4	Gun Control	The government should introduce a gun buy-back program	3	No info	
Social_5	Criminal Justice	Death penalty should be ended at state and federal levels	5	Our criminal justice system has a long history of mistakes when it comes to capital punishment—especially when it comes to Black and Brown people. We cannot let a broken system decide the fate of incarcerated Americans. I oppose the death penalty.	https://twitter.com/ewarren/status/1154436814146609154
Social_6	Criminal Justice	Government should allow clemency plans for non-violent drug offenders currently incarcerated	5	I’ll remove the clemency process from DOJ, instead empowering a clemency board to make recommendations directly to the White House. I’ll direct the board to identify broad classes of potentially-deserving individuals for review, including those who would have benefited from retroactivity under the First Step Act, individuals who are jailed under outdated or discriminatory drug laws, or those serving mandatory minimums that should be abolished.	https://medium.com/@teamwarren/rethinking-public-safety-to-reduce-mass-incarceration-and-strengthen-communities-90e8591c6255
Social_7	Criminal Justice	The government should take an active role to reduce police brutality, especially those driven by racial biases	5	I’ll end stop-and-frisk by directing the Justice Department to withhold federal funding from law enforcement agencies that continue to employ it and other similar practices, and I’ll work with Congress to pass legislation to prohibit profiling at all levels of law enforcement. Expand the responsible use of body cameras and protect citizen privacy. 	https://medium.com/@teamwarren/rethinking-public-safety-to-reduce-mass-incarceration-and-strengthen-communities-90e8591c6255
Social_8	Criminal Justice	Marijuana should be legalized at the state and federal levels	5	It starts with legalizing marijuana and erasing past convictions, and then eliminating the remaining disparity between crack and powder cocaine sentencing. 	https://medium.com/@teamwarren/rethinking-public-safety-to-reduce-mass-incarceration-and-strengthen-communities-90e8591c6255
Social_9	Church-State	I support the Equality Act (amending the Civil Rights Act to prohibit discrimination on the basis of sexual orientation and gender identity in employment, housing, public accommodations, public education, federal funding, credit, and the jury system)	5	That reflects such positions as her cosponsorship of the Equality Act and other antidiscrimination bills, and her opposition to Donald Trump’s Supreme Court nominees — Neil Gorsuch and Brett Kavanaugh — as well as other anti-LGBTQ Trump nominees.	https://www.advocate.com/politics/2019/1/03/elizabeth-warren-persists-supporting-lgbtq-rights
Social_10	Church-State	The government should provide all women free access to abortion facilities and cover costs of care	5	All women — no matter where they live, where they’re from, how much money they make, or the color of their skin — are entitled to access the high-quality, evidence-based reproductive health care that is envisioned by Roe.	https://medium.com/@teamwarren/congressional-action-to-protect-choice-aaf94ed25fb5
Social_11	Democracy	Citizens united should be overturned	5	Democracy for all amendment bill is co-sponsored by few 2020 presidential candidates including Senator Warren	https://www.newsweek.com/big-money-citizens-united-campaign-funding-1451687
Foreign_1	Unilateralism	President should be required to come to Congress for an authorization of the use of military force (AUMF)	5	Those who sign the letter pledge to “fight to reclaim Congress’s constitutional authority to conduct oversight of U.S. foreign policy and independently debate whether to authorize each new use of military force” and “act to bring the Forever War to a responsible and expedient conclusion.”	https://thehill.com/policy/defense/432670-sanders-ocasio-cortez-sponsoring-end-the-forever-war-pledge
Foreign_2	Unilateralism	Israel meets international standards of human rights	3	The current situation is not tenable.	https://www.nytimes.com/interactive/2019/us/politics/israel-human-rights-democratic-candidates.html
Foreign_3	Interventionism	We should bring U.S. troops home from America's post-9/11 wars without delay	5	“I think it is right to get our troops out of Syria ― and let me add, I think it’s right to get our troops out of Afghanistan,” Warren said.	https://www.aol.com/article/news/2019/01/03/warren-backs-withdrawal-of-troops-from-syria-afghanistan/23633027/
Foreign_4	Interventionism	Illegal immigration is a major national security problem in the US	1	Elizabeth Warren called for a repeal of the statute that criminalizes illegal entry into the U.S.	https://www.washingtonexaminer.com/news/elizabeth-warren-calls-for-decriminalizing-illegal-immigration
Foreign_5	Hegemony	Growing defense / pentagon spending should be a priority	1	It’s past time to cut our bloated defense budget	https://medium.com/@teamwarren/its-time-to-reduce-corporate-influence-at-the-pentagon-98f52ee0fcf1
Foreign_6	Hegemony	It is not ideal but in some cases necessary to use extreme interrogration techniques, especially for terrorist suspects	1	No matter how you dress it up, torture is torture and it is wrong. It is inhumane, it is ineffective and it is un-American	https://www.warren.senate.gov/newsroom/press-releases/warren-delivers-floor-speech-opposing-gina-haspel-for-cia-director
Foreign_7	Hegemony	US should actively prevent China's rise as a military super-power	4	Whether our leaders recognize it or not, after years as the world’s lone superpower, the United States is entering a new period of competition. Democracy is running headlong into the ideologies of nationalism, authoritarianism, and corruption. China is on the rise, using its economic might to bludgeon its way onto the world stage and offering a model in which economic gains legitimize oppression.	https://www.foreignaffairs.com/articles/2018-11-29/foreign-policy-all
Foreign_8	Hegemony	US and developing countries (China, India) should have same climate change standards despite the underlying different stages of development	1	the Warren campaign released its most comprehensive climate plan yet, a $2 trillion package that commits the federal government to spend $150 billion a year over the next decade on low-carbon technology, increases energy research funding tenfold and funds a $100 billion Green Marshall Plan to aid the poorer countries projected to suffer the worst as global temperatures rise. This is irrespective of what other countries do	https://www.yahoo.com/news/elizabeth-warren-climate-plan-133000864.html 
